name,birthYear,birthDate,gender,birthplace
Alexandru Hălăucă,1957-01-01T00:00:00+02:00,1957-08-12,male,
Richard Sévigny,1957-01-01T00:00:00+02:00,1957-04-11,male,{Canada|Montreal|Quebec}
Richie Dunn,1957-01-01T00:00:00+02:00,1957-05-12,male,{Boston|Massachusetts|United States}
Rick Vasko,1957-01-01T00:00:00+02:00,1957-01-12,male,
Rob Holland,1957-01-01T00:00:00+02:00,1957-09-10,male,{Montreal|Quebec}
Rob Shick,1957-01-01T00:00:00+02:00,1957-12-04,male,
Robert Picard,1957-01-01T00:00:00+02:00,1957-05-25,,{Canada|Montreal|Quebec}
Robert Plumb,1957-01-01T00:00:00+02:00,1957-08-29,male,
Dave Hoyda,1957-01-01T00:00:00+02:00,1957-05-20,male,{Alberta|Edmonton|Canada}
Dave Morrow,1957-01-01T00:00:00+02:00,1957-05-04,male,{Alberta|Edmonton|Canada}
Dave Parro,1957-01-01T00:00:00+02:00,1957-04-30,,
Dave Semenko,1957-01-01T00:00:00+02:00,1957-07-12,,{Manitoba|Winnipeg|Canada}
Glen Hanlon,1957-01-01T00:00:00+02:00,1957-02-20,male,{Manitoba|Brandon Manitoba|Canada}
Mitch Korn,1957-01-01T00:00:00+02:00,1957-09-16,male,
Moe Robinson,1957-01-01T00:00:00+02:00,1957-05-29,,{Ontario|North Dundas Ontario|Canada}
Murray Bannerman,1957-01-01T00:00:00+02:00,1957-04-27,male,{Ontario|Canada|Fort Frances}
Benoit Gosselin,1957-01-01T00:00:00+02:00,1957-07-19,male,{Canada|Montreal|Quebec}
Bill Stewart (ice hockey),1957-01-01T00:00:00+02:00,1957-10-06,,{Ontario|Toronto|Canada}
Bob Gladney,1957-01-01T00:00:00+02:00,1957-08-27,male,{Newfoundland and Labrador|Come By Chance Newfoundland and Labrador|Canada}
Bob Janecyk,1957-01-01T00:00:00+02:00,1957-05-18,,
Bob Sullivan (ice hockey),1957-01-01T00:00:00+02:00,1957-11-29,male,{Rouyn-Noranda|Canada|Quebec}
Bob Suter,1957-01-01T00:00:00+02:00,1957-05-16,male,
Bobby Gould (ice hockey),1957-01-01T00:00:00+02:00,1957-09-02,,{Ontario|Canada|Petrolia Ontario}
Brad Maxwell,1957-01-01T00:00:00+02:00,1957-07-08,male,{Manitoba|Brandon Manitoba|Canada}
Brent Tremblay,1957-01-01T00:00:00+02:00,1957-11-01,male,
Brian Hill (ice hockey),1957-01-01T00:00:00+02:00,1957-01-12,,{Saskatchewan|Regina Saskatchewan|Canada}
Brian McGregor,1957-01-01T00:00:00+02:00,1957-07-11,male,Canada
Bruce Crowder,1957-01-01T00:00:00+02:00,1957-03-25,male,{Ontario|Essex Ontario|Canada}
Vern Mott,1957-01-01T00:00:00+02:00,1957-03-26,male,Fillmore Saskatchewan
Viktor Tyumenev,1957-01-01T00:00:00+02:00,1957-06-01,male,
Jean Savard,1957-01-01T00:00:00+02:00,1957-04-26,,{Verdun Quebec|Canada|Quebec}
Jeff Allan,1957-01-01T00:00:00+02:00,1957-05-17,male,{Ontario|Toronto|Canada}
Jeff Bandura,1957-01-01T00:00:00+02:00,{1957-02-04|1957-04-02},,{British Columbia|White Rock British Columbia|Canada}
Jere Gillis,1957-01-01T00:00:00+02:00,{1957-01-15|1957-01-18},,{Bend Oregon|United States|Oregon}
Jim Craig (ice hockey),1957-01-01T00:00:00+02:00,1957-05-31,,{Easton Massachusetts|Massachusetts|United States}
Jim Cross,1957-01-01T00:00:00+02:00,1957-02-06,,{Alberta|Edmonton|Canada}
Jim Hamilton (ice hockey),1957-01-01T00:00:00+02:00,1957-01-18,male,{Ontario|Barrie|Canada}
Jim Korn,1957-01-01T00:00:00+02:00,1957-07-28,male,{Spokane Washington|Washington (state)|United States}
Jim Stewart (ice hockey),1957-01-01T00:00:00+02:00,1957-04-23,,{Cambridge Massachusetts|Massachusetts|United States}
Anders Karlsson (ice hockey),1957-01-01T00:00:00+02:00,1957-08-05,,Sweden
Andrzej Małysiak,1957-01-01T00:00:00+02:00,1957-06-30,male,{Mysłowice|Polish People's Republic}
Floyd Lahache,1957-01-01T00:00:00+02:00,1957-09-17,male,{Kahnawake|Canada|Quebec}
Frank Serratore,1957-01-01T00:00:00+02:00,1957-08-25,male,Coleraine Minnesota
Matti Forss,1957-01-01T00:00:00+02:00,1957-05-17,male,
Neil LaBatte,1957-01-01T00:00:00+02:00,1957-04-24,male,
Nelson Burton (ice hockey),1957-01-01T00:00:00+02:00,1957-11-06,male,{Nova Scotia|Sydney Nova Scotia|Canada}
Nikolai Drozdetsky,1957-01-01T00:00:00+02:00,1957-06-14,male,{Soviet Union|Kolpino}
Nikolay Petrov (ice hockey),1957-01-01T00:00:00+02:00,1957-09-09,male,
Norm Dupont,1957-01-01T00:00:00+02:00,1957-02-05,male,{Canada|Montreal|Quebec}
Normand Baron,1957-01-01T00:00:00+02:00,1957-12-15,male,{Verdun Quebec|Canada|Quebec}
Chris Kelland,1957-01-01T00:00:00+02:00,1957-12-22,male,{Ontario|Canada|Sault Ste. Marie Ontario}
Scott Campbell (ice hockey born 1957),1957-01-01T00:00:00+02:00,1957-06-22,,{Ontario|Toronto|Canada}
Warren Holmes,1957-01-01T00:00:00+02:00,1957-02-18,male,{Ontario|Canada|Beeton}
Wayne Ramsey,1957-01-01T00:00:00+02:00,1957-01-31,male,{Manitoba|Canada|Hamiota Manitoba}
William Klooster,1957-01-01T00:00:00+02:00,1957-12-25,male,{Amsterdam|Netherlands}
Willie Desjardins,1957-01-01T00:00:00+02:00,1957-02-11,male,{Canada|Climax Saskatchewan}
Craig Laughlin,1957-01-01T00:00:00+02:00,1957-09-14,male,{Ontario|Toronto|Canada}
Craig Topolnisky,1957-01-01T00:00:00+02:00,1957-10-08,,{Alberta|Edmonton|Canada}
Cveto Pretnar,1957-01-01T00:00:00+02:00,1957-01-27,male,{Socialist Federal Republic of Yugoslavia|Jesenice Jesenice}
Dale McCourt,1957-01-01T00:00:00+02:00,1957-01-26,male,{Ontario|Nickel Centre|Canada}
Dan Chicoine,1957-01-01T00:00:00+02:00,1957-11-30,,{Canada|Sherbrooke|Quebec}
Dan Clark (ice hockey),1957-01-01T00:00:00+02:00,1957-11-03,male,{Ontario|Toronto|Canada}
Dan Poulin,1957-01-01T00:00:00+02:00,1957-09-19,,
John Tonelli,1957-01-01T00:00:00+02:00,1957-03-23,male,{Hamilton Ontario|Ontario|Milton Ontario|Canada}
Karl-Erik Lilja,1957-01-01T00:00:00+02:00,1957-04-24,male,
Keith Hanson,1957-01-01T00:00:00+02:00,1957-04-26,male,{Minnesota|Ada Minnesota|United States}
Kevin McCarthy (ice hockey),,1957-07-14,,{Manitoba|Winnipeg|Canada}
Kim Davis,1957-01-01T00:00:00+02:00,1957-10-31,male,{Manitoba|Flin Flon|Canada}
Øivind Løsåmoen,1957-01-01T00:00:00+02:00,1957-01-01T00:00:00+02:00,male,{Norway|Oslo}
Ion Berdilă,1958-01-01T00:00:00+02:00,1958-02-01,male,
Istvan Antal (ice hockey),1958-01-01T00:00:00+02:00,1958-09-18,male,{Socialist Republic of Romania|Frumoasa Harghita}
Eric Strobel,1958-01-01T00:00:00+02:00,1958-07-05,,
Thom Eklund,1958-01-01T00:00:00+02:00,1958-10-28,male,
Tim Bernhardt,1958-01-01T00:00:00+02:00,1958-01-17,male,{Ontario|Sarnia|Canada}
Tim Coulis,1958-01-01T00:00:00+02:00,1958-02-24,,
Tim Higgins,1958-01-01T00:00:00+02:00,1958-02-07,male,{Ontario|Ottawa|Canada}
Tim Trimper,1958-01-01T00:00:00+02:00,1958-09-28,,
Tom Laidlaw,1958-01-01T00:00:00+02:00,1958-04-15,male,{Ontario|Brampton|Canada}
Louis Sleigher,1958-01-01T00:00:00+02:00,1958-10-23,male,
Ludwik Synowiec,1958-01-01T00:00:00+02:00,1958-01-19,male,{Poland|Katowice|Polish People's Republic}
Lyubomir Lyubomirov,1958-01-01T00:00:00+02:00,1958-11-22,male,
Gord Wappel,1958-01-01T00:00:00+02:00,1958-07-26,male,
Gordon Latto,1958-01-01T00:00:00+02:00,1958-12-18,male,{Scotland|Kirkcaldy}
Graeme Nicolson,1958-01-01T00:00:00+02:00,1958-01-13,male,
Greg Meredith,1958-01-01T00:00:00+02:00,1958-02-23,male,{Ontario|Toronto|Canada}
Zvone Šuvak,1958-01-01T00:00:00+02:00,1958-08-29,,{Socialist Federal Republic of Yugoslavia|Jesenice Jesenice}
Paul Devorski,1958-01-01T00:00:00+02:00,1958-08-18,male,{Ontario|Guelph|Canada}
Paul MacKinnon,1958-01-01T00:00:00+02:00,1958-11-06,male,
Paul MacLean (ice hockey),1958-01-01T00:00:00+02:00,1958-03-09,male,{Grostenquin|France}
Paul Messier (ice hockey),1958-01-01T00:00:00+02:00,1958-01-27,male,{England|Nottingham|United Kingdom}
Paul Mulvey,1958-01-01T00:00:00+02:00,1958-09-27,male,
Per-Erik Johnsson,1958-01-01T00:00:00+02:00,1958-12-04,male,{Sweden|Karlstad}
Peter Gradin,1958-01-01T00:00:00+02:00,1958-12-09,male,
Peter Gustavsson,1958-01-01T00:00:00+02:00,1958-03-30,male,{Sweden|Bollebygd}
Djilali Hamri,1958-01-01T00:00:00+02:00,1958-11-24,,{Algeria|Algiers}
Don Lucia,1958-01-01T00:00:00+02:00,1958-08-20,male,Grand Rapids Minnesota
Don Maloney,1958-01-01T00:00:00+02:00,1958-09-05,male,{Ontario|Lindsay Ontario|Canada}
Don Waddell,1958-01-01T00:00:00+02:00,1958-08-19,male,{Detroit|Michigan|United States}
Doug Keans,1958-01-01T00:00:00+02:00,1958-01-07,,{Ontario|Pembroke Ontario|Canada}
Doug Lecuyer,1958-01-01T00:00:00+02:00,1958-03-10,,{Alberta|Wainwright Alberta|Canada}
Rolf Ridderwall,1958-01-01T00:00:00+02:00,1958-11-20,male,Sweden
Ron Carter (ice hockey),1958-01-01T00:00:00+02:00,1958-03-14,male,{Canada|Montreal|Quebec}
Ron Davidson,1958-01-01T00:00:00+02:00,1958-07-16,male,{Saskatchewan|Prince Albert Saskatchewan|Canada}
Ron Friest,1958-01-01T00:00:00+02:00,1958-11-04,male,
Roy Roedger,1958-01-01T00:00:00+02:00,1958-10-11,male,{Ontario|Weston Ontario|Canada}
Ryan Walter,1958-01-01T00:00:00+02:00,1958-04-23,male,{British Columbia|New Westminster|Canada}
Mike Gazdic,1958-01-01T00:00:00+02:00,1958-02-17,,{Ontario|Canada|Greater Sudbury}
Mike Gillis,1958-01-01T00:00:00+02:00,1958-12-01,,{Ontario|Canada|Greater Sudbury}
Mike McDougall,1958-01-01T00:00:00+02:00,1958-04-30,male,{Michigan|Port Huron Michigan|United States}
Mike Meeker,1958-01-01T00:00:00+02:00,1958-02-23,male,
Mike Urquhart,1958-01-01T00:00:00+02:00,1958-04-09,male,{Ontario|Toronto|Canada}
Tomas Nord,1958-01-01T00:00:00+02:00,1958-07-18,male,{Sweden|Vetlanda Municipality}
Tony McKegney,1958-01-01T00:00:00+02:00,1958-02-15,,{Canada|Montreal|Quebec}
Sergei Makarov,1958-01-01T00:00:00+02:00,1958-06-19,male,{Soviet Union|Chelyabinsk}
Sergei Mylnikov,1958-01-01T00:00:00+02:00,1958-10-06,male,{Soviet Union|Chelyabinsk}
Sergei Starikov,1958-01-01T00:00:00+02:00,1958-12-04,,{Soviet Union|Chelyabinsk}
Stan Smyl,1958-01-01T00:00:00+02:00,1958-01-28,male,{Alberta|Canada|Glendon Alberta}
Stelio Zupancich,1958-01-01T00:00:00+02:00,1958-04-07,male,{Ontario|Toronto|Canada}
Steve Christoff,1958-01-01T00:00:00+02:00,1958-01-23,,{Illinois|Springfield Illinois|United States}
Steve Payne (ice hockey),1958-01-01T00:00:00+02:00,1958-08-16,male,{Ontario|Toronto|Canada}
Steve Tambellini,1958-01-01T00:00:00+02:00,1958-05-14,male,{British Columbia|Canada|Trail British Columbia}
Steve Weeks,1958-01-01T00:00:00+02:00,1958-06-30,,Scarborough Ontario
Kjell Samuelsson,1958-01-01T00:00:00+02:00,1958-10-18,male,{Sweden|Tingsryd}
Larry Landon,1958-01-01T00:00:00+02:00,1958-05-04,,
Larry Lozinski,1958-01-01T00:00:00+02:00,1958-10-16,,{Saskatchewan|Canada|Hudson Bay Saskatchewan}
Larry Playfair,1958-01-01T00:00:00+02:00,1958-06-23,male,{British Columbia|Canada|Fort St. James}
Lasse Falk,1958-01-01T00:00:00+02:00,1958-05-11,male,
Mari Saris,1958-01-01T00:00:00+02:00,1958-01-09,male,
Mark Faucette,1958-01-01T00:00:00+02:00,1958-06-09,male,
Mark Kirton,1958-01-01T00:00:00+02:00,1958-02-03,male,{Saskatchewan|Regina Saskatchewan|Canada}
Mark Morris (ice hockey),1958-01-01T00:00:00+02:00,1958-03-31,male,{Massena New York|United States|New York}
Mark Pavelich,1958-01-01T00:00:00+02:00,1958-02-28,,{Minnesota|Eveleth Minnesota|United States}
Mark Taylor (ice hockey),1958-01-01T00:00:00+02:00,1958-01-26,,{British Columbia|Vancouver|Canada}
Jan Eriksson (ice hockey),1958-01-01T00:00:00+02:00,1958-01-14,,{Sweden|Sollefteå}
Jan Stopczyk,1958-01-01T00:00:00+02:00,1958-09-28,male,{Zgierz|Polish People's Republic}
Janne Karlsson (ice hockey b. 1958),1958-01-01T00:00:00+02:00,1958-08-28,male,{Sweden|Växjö}
Jari Kaarela,1958-01-01T00:00:00+02:00,1958-08-08,male,
Jay Johnston (ice hockey),1958-01-01T00:00:00+02:00,1958-02-28,,{Hamilton Ontario|Ontario|Canada}
Drago Horvat,1958-01-01T00:00:00+02:00,1958-07-09,male,{Socialist Federal Republic of Yugoslavia|Jesenice Jesenice}
Dwayne Lowdermilk,1958-01-01T00:00:00+02:00,1958-01-09,male,
Joel Quenneville,1958-01-01T00:00:00+02:00,1958-09-15,male,{Ontario|Windsor Ontario|Canada}
John Barrett (ice hockey),1958-01-01T00:00:00+02:00,1958-07-01,,{Ontario|Ottawa|Canada}
Karel Lang,1958-01-01T00:00:00+02:00,1958-06-09,male,{Czechoslovakia|Brno}
Behn Wilson,1958-01-01T00:00:00+02:00,1958-12-19,,{Ontario|Toronto|Canada}
Pat Dapuzzo,1958-01-01T00:00:00+02:00,1958-12-29,male,
Randy Betty,1958-01-01T00:00:00+02:00,1958-09-01,,{Alberta|Edmonton|Canada}
Randy Johnston (ice hockey),1958-01-01T00:00:00+02:00,1958-06-02,,
Ray Markham,1958-01-01T00:00:00+02:00,1958-01-23,male,
Al Secord,1958-01-01T00:00:00+02:00,1958-03-03,,{Ontario|Canada|Greater Sudbury}
Aleksandr Kozhevnikov (ice hockey),1958-01-01T00:00:00+02:00,1958-09-21,male,
Richard David,1958-01-01T00:00:00+02:00,1958-04-08,male,
Rick Paterson,1958-01-01T00:00:00+02:00,1958-02-10,male,{Ontario|Canada|Kingston Ontario}
Rick van Gog,1958-01-01T00:00:00+02:00,1958-01-01T00:00:00+02:00,male,
Risto Siltanen,1958-01-01T00:00:00+02:00,1958-10-31,male,{Finland|Mänttä}
Rob Daum,1958-01-01T00:00:00+02:00,1958-01-19,male,{Saskatchewan|Canada|Churchbridge Saskatchewan}
Rob Garner,1958-01-01T00:00:00+02:00,1958-08-17,,{Ontario|Weston Ontario|Canada}
Rob McClanahan,1958-01-01T00:00:00+02:00,1958-01-09,male,{Minnesota|Saint Paul Minnesota|United States}
Sven Lien,1958-01-01T00:00:00+02:00,1958-01-01T00:00:00+02:00,male,
Sylvain Locas,1958-01-01T00:00:00+02:00,1958-02-17,,Chicoutimi
Ted Nolan,1958-01-01T00:00:00+02:00,1958-04-07,male,{Ontario|Garden River First Nation|Canada}
Terry Johnson (ice hockey),1958-01-01T00:00:00+02:00,1958-11-28,male,{Alberta|Canada|Calgary}
Danny Flynn (ice hockey),1958-01-01T00:00:00+02:00,1958-01-01T00:00:00+02:00,male,{Nova Scotia|Canada|Dartmouth Nova Scotia}
Danny Lucas,1958-01-01T00:00:00+02:00,1958-02-28,male,{British Columbia|Canada|Powell River British Columbia}
Dariusz Sikora,1958-01-01T00:00:00+02:00,1958-12-30,male,{Piekary Śląskie|Polish People's Republic}
Darryl Sutter,1958-01-01T00:00:00+02:00,1958-08-19,male,{Alberta|Canada|Viking Alberta}
Dave Cameron (ice hockey),1958-01-01T00:00:00+02:00,1958-07-29,male,{Prince Edward Island|Canada|Charlottetown}
Dave Feamster,1958-01-01T00:00:00+02:00,1958-09-10,male,{Detroit|Michigan|United States}
Dave Hindmarch,1958-01-01T00:00:00+02:00,1958-10-15,male,{British Columbia|Vancouver|Canada}
Dave Hunter,1958-01-01T00:00:00+02:00,1958-01-01,male,{Ontario|Canada|Petrolia Ontario}
Dave MacQueen,1958-01-01T00:00:00+02:00,1958-01-01T00:00:00+02:00,,{Ontario|Canada|Woodstock Ontario}
Dave Poulin,1958-01-01T00:00:00+02:00,1958-12-17,,{Ontario|Canada|Timmins}
Dave Silk,1958-01-01T00:00:00+02:00,{1958-01-01|1958-01-08},,{Scituate Massachusetts|Massachusetts|United States}
Dave Watson (ice hockey),1958-01-01T00:00:00+02:00,1958-05-18,,
Dean Lombardi,1958-01-01T00:00:00+02:00,1958-03-05,male,{Holyoke Massachusetts|Massachusetts|United States}
Dean Turner (ice hockey),1958-01-01T00:00:00+02:00,1958-06-22,,
George McPhee,1958-01-01T00:00:00+02:00,1958-07-02,male,{Ontario|Guelph|Canada}
Gerd Truntschka,1958-01-01T00:00:00+02:00,1958-09-10,male,
Gerry McDonald,1958-01-01T00:00:00+02:00,1958-03-18,male,
Glen Cochrane,1958-01-01T00:00:00+02:00,1958-01-29,male,{British Columbia|Cranbrook British Columbia|Canada}
Glen Currie,1958-01-01T00:00:00+02:00,1958-07-18,,
Glenn Hicks,1958-01-01T00:00:00+02:00,1958-08-28,male,
Bengt-Åke Gustafsson,1958-01-01T00:00:00+02:00,1958-03-23,male,{Sweden|Karlskoga}
Bill Derlago,1958-01-01T00:00:00+02:00,1958-08-25,male,{Manitoba|Birtle Manitoba|Canada}
Bill Whelton,1958-01-01T00:00:00+02:00,1958-08-28,male,
Bjørn Skaare,1958-01-01T00:00:00+02:00,1958-10-29,male,{Norway|Oslo}
Bo Ericson (ice hockey),1958-01-01T00:00:00+02:00,1958-01-23,male,{Stockholm|Sweden}
Bob Bergloff,1958-01-01T00:00:00+02:00,1958-07-26,male,
Bob Froese,1958-01-01T00:00:00+02:00,1958-06-30,,{Ontario|Canada|St. Catharines}
Bob Parent (ice hockey),1958-01-01T00:00:00+02:00,1958-02-19,male,
Bobby Francis,1958-01-01T00:00:00+02:00,1958-12-05,male,{Saskatchewan|North Battleford|Canada}
Bobby Smith (ice hockey),1958-01-01T00:00:00+02:00,1958-02-12,,{Nova Scotia|Canada|North Sydney Nova Scotia}
Bogdan Dziubiński,1958-01-01T00:00:00+02:00,1958-01-01,male,{Nowy Targ|Polish People's Republic}
Brad Marsh,1958-01-01T00:00:00+02:00,1958-03-31,male,{Ontario|London Ontario|Canada}
Brad Smith (ice hockey),1958-01-01T00:00:00+02:00,1958-04-13,male,{Ontario|Windsor Ontario|Canada}
Brent Peterson,1958-01-01T00:00:00+02:00,1958-02-15,male,{Alberta|Canada|Calgary}
Brian MacLellan,1958-01-01T00:00:00+02:00,1958-10-27,male,{Ontario|Guelph|Canada}
Brian Young (ice hockey),1958-01-01T00:00:00+02:00,1958-10-02,male,{Alberta|Jasper Alberta|Canada}
Vasily Tikhonov (ice hockey coach),1958-01-01T00:00:00+02:00,1958-05-13,male,
Viacheslav Fetisov,1958-01-01T00:00:00+02:00,1958-04-20,male,{Moscow|Soviet Union|Russian Soviet Federative Socialist Republic}
Viacheslav Lavrov,1958-01-01T00:00:00+02:00,1958-04-30,male,
Vladimír Caldr,1958-01-01T00:00:00+02:00,1958-11-26,male,
Vladimir Zubkov,1958-01-01T00:00:00+02:00,1958-01-14,male,
Jeff Brubaker,1958-01-01T00:00:00+02:00,1958-02-24,male,{Maryland|Hagerstown Maryland|United States}
Jeff Pyle (ice hockey),1958-01-01T00:00:00+02:00,1958-10-07,male,{Missouri|Fort Leonard Wood Missouri|United States}
Jerzy Christ,1958-01-01T00:00:00+02:00,1958-09-15,,{Poland|Katowice|Polish People's Republic}
Jiří Hrdina,1958-01-01T00:00:00+02:00,{1958-01-05|1958-01-11},male,{Czechoslovakia|Prague}
Jim Malazdrewicz,1958-01-01T00:00:00+02:00,1958-03-11,,{Manitoba|Winnipeg|Canada}
Jim Nill,1958-01-01T00:00:00+02:00,1958-04-11,,{Alberta|Canada|Hanna Alberta}
André Doré,1958-01-01T00:00:00+02:00,1958-02-11,male,{Canada|Montreal|Quebec}
Andrzej Chowaniec,1958-01-01T00:00:00+02:00,1958-01-01,male,{Kojszówka|Polish People's Republic}
Leonīds Beresņevs,1958-01-01T00:00:00+02:00,1958-07-06,male,{Soviet Union|Kirov Oblast}
Leszek Jachna,1958-01-01T00:00:00+02:00,1958-05-09,male,{Nowy Targ|Polish People's Republic}
Lou Franceschetti,1958-01-01T00:00:00+02:00,1958-03-28,male,{Ontario|Toronto|Canada}
France Saint-Louis,1958-01-01T00:00:00+02:00,1958-10-17,female,{Canada|Laval Quebec|Quebec}
Mats Hallin,1958-01-01T00:00:00+02:00,1958-03-09,male,{Sweden|Eskilstuna}
Merlin Malinowski,1958-01-01T00:00:00+02:00,1958-09-27,male,{Saskatchewan|North Battleford|Canada}
Nikolai Narimanov,1958-01-01T00:00:00+02:00,1958-04-10,,
Howard Walker,1958-01-01T00:00:00+02:00,1958-08-05,male,{Alberta|Grande Prairie|Canada}
Ilkka Sinisalo,1958-01-01T00:00:00+02:00,1958-07-10,male,{Finland|Valkeakoski}
Chris Kotsopoulos,1958-01-01T00:00:00+02:00,1958-11-27,male,{Ontario|Scarborough Ontario|Canada}
Chris Nilan,1958-01-01T00:00:00+02:00,1958-02-09,male,{Boston|Massachusetts|United States}
Christer Kellgren,1958-01-01T00:00:00+02:00,1958-08-15,male,{Gothenburg|Sweden}
Cazacu Cazan,1958-01-01T00:00:00+02:00,1958-10-22,male,{Socialist Republic of Romania|Bucharest}
Wayne Babych,1958-01-01T00:00:00+02:00,1958-06-06,male,{Alberta|Edmonton|Canada}
Wes George,1958-01-01T00:00:00+02:00,1958-09-26,,{Saskatchewan|Young Saskatchewan|Canada}
Wes Jarvis,1958-01-01T00:00:00+02:00,1958-05-30,,
Willie Huber,1958-01-01T00:00:00+02:00,1958-01-15,male,{West Germany|Straßkirchen}
Craig MacTavish,1958-01-01T00:00:00+02:00,1958-08-15,male,{Ontario|London Ontario|Canada}
Curt Fraser,1958-01-01T00:00:00+02:00,1958-01-12,male,{Ohio|Cincinnati|United States}
Curt Giles,1958-01-01T00:00:00+02:00,1958-11-30,,{Manitoba|Canada|The Pas}
Dale Yakiwchuk,1958-01-01T00:00:00+02:00,1958-10-17,male,{Alberta|Canada|Cardston Alberta}
Dan D'Alvise,1958-01-01T00:00:00+02:00,1958-03-09,male,{Ontario|Toronto|Canada}
Dan Geoffrion,1958-01-01T00:00:00+02:00,1958-01-24,male,{Canada|Montreal|Quebec}
Dan McCarthy (ice hockey),1958-01-01T00:00:00+02:00,1958-04-07,male,{Ontario|St. Marys Ontario|Canada}
John Olver (coach),1958-01-01T00:00:00+02:00,1958-08-03,male,{British Columbia|Canada|North Burnaby}
John Tortorella,1958-01-01T00:00:00+02:00,1958-06-24,male,{Boston|Massachusetts}
Jon-Magne Karlstad,1958-01-01T00:00:00+02:00,1958-11-10,male,
Jon Christiano,1958-01-01T00:00:00+02:00,1958-07-08,male,
Jon Fontas,1958-01-01T00:00:00+02:00,1958-04-16,,
Jordy Douglas,1958-01-01T00:00:00+02:00,1958-01-20,male,
Karl Friesen,1958-01-01T00:00:00+02:00,1958-06-30,male,{Manitoba|Winnipeg|Canada}
Keith Acton,1958-01-01T00:00:00+02:00,1958-04-15,,{Ontario|Whitchurch–Stouffville|Canada}
Keith Allain,1958-01-01T00:00:00+02:00,1958-09-26,male,
Kelly Davis,1958-01-01T00:00:00+02:00,1958-09-23,male,{Alberta|Grande Prairie|Canada}
Ken Linseman,1959-01-01T00:00:00+02:00,{1958-08-11|1959-08-11},male,{Ontario|Canada|Kingston Ontario}
Kevin Constantine,1958-01-01T00:00:00+02:00,1958-12-27,male,
Kevin Krook,1958-01-01T00:00:00+02:00,1958-04-05,male,{Alberta|Canada|Cold Lake Alberta}
Kevin Reeves (ice hockey),1958-01-01T00:00:00+02:00,{1958-04-16|1958-10-02},male,
Kevin Willison,1958-01-01T00:00:00+02:00,1958-05-21,male,{Alberta|Canada|Calgary}
Ernest Bokroš,1959-01-01T00:00:00+02:00,1959-08-25,male,
Errol Rausse,1959-01-01T00:00:00+02:00,1959-05-18,male,{British Columbia|Canada|Quesnel British Columbia}
Thomas Åhlén,1959-01-01T00:00:00+02:00,1959-03-08,male,
Thomas Eriksson (ice hockey),1959-01-01T00:00:00+02:00,1959-10-16,male,{Stockholm|Sweden}
Thomas Kärrbrandt,1959-01-01T00:00:00+02:00,1959-03-18,male,
Tim Watters,1959-01-01T00:00:00+02:00,1959-07-25,male,{British Columbia|Kamloops|Canada}
Timo Susi,1959-01-01T00:00:00+02:00,1959-01-25,male,
Gord Hampson,1959-01-01T00:00:00+02:00,1959-02-13,male,{British Columbia|Vancouver|Canada}
Greg Theberge,1959-01-01T00:00:00+02:00,1959-09-03,,{Ontario|Canada|Peterborough Ontario}
Håkan Södergren,1959-01-01T00:00:00+02:00,1959-06-14,,{Sweden|Rosersberg}
Göran Nilsson,1959-01-01T00:00:00+02:00,1959-03-18,male,
Gary Dillon,1959-01-01T00:00:00+02:00,1959-02-28,,{Ontario|Toronto|Canada}
Gary Laskoski,1959-01-01T00:00:00+02:00,1959-06-06,male,{Ontario|Ottawa|Canada}
Gary Lupul,1959-01-01T00:00:00+02:00,1959-04-04,,{British Columbia|Canada|Powell River British Columbia}
Gary Sampson (ice hockey),1959-01-01T00:00:00+02:00,1959-08-24,male,{Ontario|Canada|Atikokan}
Gary Stefan,1959-01-01T00:00:00+02:00,1959-06-23,male,{Ontario|Brantford|Canada}
Gaston Gingras,1959-01-01T00:00:00+02:00,1959-02-13,male,{Témiscaming|Canada|Quebec}
Geordie Robertson,1959-01-01T00:00:00+02:00,1959-08-01,male,{British Columbia|Victoria British Columbia|Canada}
Paul Fenton (ice hockey),1959-01-01T00:00:00+02:00,1959-12-22,male,{Springfield Massachusetts|Massachusetts|United States}
Paul Miller (ice hockey),1959-01-01T00:00:00+02:00,1959-08-21,male,
Paul Pageau,1959-01-01T00:00:00+02:00,1959-10-01,male,{Canada|Montreal|Quebec}
Pelle Lindbergh,1959-01-01T00:00:00+02:00,1959-05-24,,{Stockholm|Sweden}
Per-Arne Kristiansen,1959-01-01T00:00:00+02:00,1959-01-01T00:00:00+02:00,male,
Perry Turnbull,1959-01-01T00:00:00+02:00,1959-03-09,,{Alberta|Bentley Alberta|Canada}
Dennis LaRue,1959-01-01T00:00:00+02:00,1959-07-14,male,
Dirk Graham,1959-01-01T00:00:00+02:00,1959-07-29,male,{Saskatchewan|Regina Saskatchewan|Canada}
Don Nachbaur,1959-01-01T00:00:00+02:00,1959-01-30,,{British Columbia|Kitimat|Canada}
Don Spring,1959-01-01T00:00:00+02:00,1959-06-15,male,{Venezuela|Maracaibo}
Doug Sulliman,1959-01-01T00:00:00+02:00,1959-08-29,male,{Nova Scotia|Canada|Glace Bay Nova Scotia}
Ron Fischer,1959-01-01T00:00:00+02:00,1959-04-12,male,{British Columbia|Merritt British Columbia|Canada}
Ross Yates,1959-01-01T00:00:00+02:00,1959-06-18,male,{Canada|Montreal|Quebec}
